post_id,question,user_stage,tag
1,"Alhamdulilh,  blessed with beautiful baby girl,  cesarean",pregnant,Announcements&Celebrations
2,Breastfeeding mother ko chai pini chaiye usse bache ko gas hogi?,mother,General Baby
3,Hii all as I am preganent with twins on coming 27 Feb Dr. Suggest m to do c sec as 36 weeks are going to complt. Is it ok to do so as I have not any pain till now. But my conception is through IUI so Dr told that he don't want to take any risk . He suggest m to take 4 dexa injection prior operation .pls suggest mere baby Puri tarah mature to honge Na or should I wait .pls reply am confused,pregnant,General Pregnancy
4,Mujhy mild cramp sa feeling Hai lower main aur urine bht feel horaha jab kern tu itna nai hta urine ki feeling bht horai bar bar jati hun discomfort hai,pregnant,General Pregnancy
5,Can I drink lion dates syrup,pregnant,Diet&Nutrition
6,Where can we get honey pacifiers in India? I am able to find normal pacifiers onlyl in medical stores n online,mother,General Baby
7,Can i eat masala ots,pregnant,Diet&Nutrition
8,I am on projesterone injection and duphaston...having very high gas and acidity. Due to gas there is stomach pain..My remedies for this? Please help,pregnant,Diet&Nutrition
9,I m breast feeding mother.. my baby weight is low .. what should I eat jiise iska weight gain ho,mother,Diet&Nutrition
10,faida uthana..????? hubby ko pata nahi kis mahan dost ne batya ki pregnacy me roj light massage karne se baby halthy hota hai.wo bisara roj rat ko tal n nimbu ko mix karke mujhe massage kar dete hai.me to pura khus.kl wo bht busy the lakin fir v massge krne nahi bhula to kl mene mana kar diya.baby ka pata nahi mujhe bht aaram milti hai..me to man man sochu 9mnth ki baad kiya hoga tab to habt bhi ho jayaga??,pregnant,Gossip
11,Im 24 weeks pregnant and having pain in my vaginal area and down to my thigh and legs ..and I cannot sleep. Is this normal?,pregnant,General Pregnancy
12,Meri beti ko bohot sweating hoti hai ... Even without blnkt bhi Or uske head m bhi bht itching hoti h wo nind m bhi head m itching krti h....pls help kya kru m,mother,General Baby
13,Do shatavari really helps in milk production?I feel lyk I have low milk supply,mother,General Baby
14,Can I eat dosa??,pregnant,Diet&Nutrition
15,I'm in 19week of pregnacy. Is it k to hav cough during this tym.,pregnant,Diet&Nutrition
16,Can i eat grapes ??,pregnant,Diet&Nutrition
17,"Guys if possible suggest me names for baby girl n baby boy.,.from the names Ashish n Sonam...",pregnant,Gossip
18,"Hi guys, what do you think? Mylo ko scratch card launch karna chahiye? Scratch can be earned when you buy any product in mylo shop!",mother,Gossip
19,"Does foreplay,romance hugs,kisses n sucking in first trimester harms a baby or leads to miscarriage or it's safe done it.... Please reply",pregnant,Love&Relationships
20,Beta beta HCG 273 Aya h iska MATLAB Kiya h?? Mera period is irregular 40 - 45 days mai ATI thi is bar nhi ayi..,pregnant,General Pregnancy
21,Baby ko safola masala oats de skte h kya pani me ubal k?,mother,Diet&Nutrition
22,"35week chalrahehi muje gestational diabetes hi dctr bol rahehai operation karneko kaha essse baby Ko kuch prblms hothihai kya,theek hojayga na plzzzz reply",pregnant,Diet&Nutrition
23,slow chalta hai app . lekin jankari sab bahot acchi dete hai sabse baat karke accha feel hota hai...,pregnant,MyloSupport
24,why do i feel sooooo hungry.. itna khane ka v mann nhi krta.. 1hr bd bd khate hi rho ufff..,pregnant,Diet&Nutrition
25,Can I eat Indian salmon fish/rawas fish in pregnancy?,pregnant,Diet&Nutrition
26,Dears How many of you find difficult in turning right to left or vice versa while sleeping? I feel pain while turning sides.. Is this common?,pregnant,General Pregnancy
27,@arpita_mylosupport why can't we directly share any video from YouTube or anywhere else?when I click on  share button of YouTube it shows every other app option except mylo. Please do something!!,pregnant,MyloSupport
28,I ordered a combo of pregnancy pillow and massage oil but i get only pregbancy pillow when will i get massage oil,pregnant,MyloSupport
29,Baby weight kaise increase. Hoga,pregnant,General Pregnancy
30,I missed hepatitis b vaccine to he kid when he born instead of that have done penta vaccine. Is there any problem in the future???,mother,General Baby
31,How much correct is the Chinese calendar of this app?,mother,Gossip
32,Hello mommies hope you all are doing well how many of you face problems who are living in joint family ....it's a yesterday talk with my husband usko itni adat hai apni mom ko har jagh sath rakhne ki that hum kabhi ekle khi ni gye wo klaish dal deti hai ...,pregnant,Love&Relationships
33,Can we do sex ? Suggest some positions at this time,pregnant,Love&Relationships
34,"Hii my last lmp was 22 jan 35 days cycle, on Sunday i checked pregnancy home test it came bouble line,and i checked to day it came single line...what is the reason plz reply me moms",ttc,Diet&Nutrition
35,useless app koi b sawalon ka jawab ache se nhi deta,pregnant,MyloSupport
36,Blessed with baby girl ?? via C- sec on 19 Jan.... delivery was emergency operative bcz baby was not getting enough oxygen... suffering from fetal hypoxia...,mother,Announcements&Celebrations
37,Kl s leg cramp ho rahi hain is it normal,pregnant,Diet&Nutrition
38,"Hello mom's, I lost my previous pregnancy at 18 weeks tab severe contractions aaye the...ab mera 16th week hai Phir se aisa contractions na ho iis k liye doc se thik se Baat nahi hui last visit pe. Mera next visit 10th March ko hhai but. Mujhe. Kal se tension hori hai kya mai aj hi doc se consult karna chahiye? Doc ne folic acid, calcium tab, aur progestrone 200 vaginally diya tha. Yehi kafi hai ya still koi precautions chahiye plz bataiye m very tensed",pregnant,General Pregnancy
39,Blessed with little cute princess. Via c.section. Thank you Mylo family and my well wishers ..,pregnant,Announcements&Celebrations
40,Hello mom's Mylo app image keise upload hoti h mere se to nei ho rahi h plz help??,mother,MyloSupport
41,Is white discharge normal during 31 wks pregnancy??3 to 4 times in a day a suffering this problm...,pregnant,General Pregnancy
42,Mere pati ka affair chal raha hai ek married woman k saath mujhe aaj pata chala. Kya karu ab main Divorce v nhi de sakti,mother,Love&Relationships
43,"Iam 11 weeks pregnancy from starting of 9th week i am having morging sickness and vomiting sensation and vomitions too, not willing to eat any thing inspite of being hunger, Dr suggested Doxlnate thrice a day before having the food so I started taking from past 2 weeks but now iam worried that continously taking may effect my babies(twin pregnancy through ivf) growth. suggest on it.",pregnant,General Pregnancy
44,"Mujhe pata hai ki Mere husband mujhse pyar karte hain but wo zada time mobile aur tv par spend karte hain, ye meri first pregnancy hai me bohot excited hu aur ghar me hubby k siwa meri baat sunne wala aur koi nahi hai, mujhe bura bhi lagta hai ki wo mujh...",pregnant,Love&Relationships
45,Hey guys 24 dec ko last period aaye the koi mujhe bta skta hai ki kitne month pregnancy h,pregnant,Diet&Nutrition
46,Has anyone realised ki humlog ki life abhi kitna change hogaya h... N and wale samay m aur bhi kitna changes ayega... ! It is such an amazing feeling inspire of all these suffering that we face every day,pregnant,Gossip
47,Is it compulsory to get orgasm for man to get pregnanancy,ttc,Love&Relationships
48,can any1 suggest a combination name of rishika and rajendra,mother,Gossip
49,Hi Dear Ladies Mylo app will be under technical maintenance for about 2 hours in the night after 1AM. You will be able to use the app as soon as the maintenance is completed. Thank you for your cooperation ? Love? Team Mylo,mother,Announcements&Celebrations
50,Hlo mom mere baby ek hi bar poty kr rha h bt aj usne white yellow means ekdum light yellow poop ki h.. Vo bi waterly.. Kya ye koi prblm h,mother,General Baby
51,My baby keeps itching his eyes always. Can i put few drops of my BM? Please suggest some remedy..,mother,General Baby
52,"This app is not properly working. When I open this app, app is showing something went wrong",pregnant,MyloSupport
53,Plz suggest a name for baby girl in L,mother,Gossip
54,Mera babu aaj 2 month k ho gaya h mere beta ko aaplog apny bless de,mother,Announcements&Celebrations
55,My baby is 2 months 25 days old and he is suffering from GER..docter recommended Rantac syrup which i m giving from last 8 days but no change. .baby is crying all time ..what can i do ??,mother,General Baby
56,Mere baal bhaut jhad rahe hai or bhot ptle ho gye hai kya pregnency me aisa hota hai,pregnant,General Pregnancy
57,With God's Grace Blessed with Baby Girl on 24-Jan-20 ?But via c section,mother,Announcements&Celebrations
58,Im unable to sleep cuz my baby needs to feed after evry half an hour bcoz of sleep deprivation i got severe headache plz share some tips to cope with tht,mother,General Baby
59,Am breastfeeding mother can I apply oxy bleach on my face is it safe to apply.,mother,General Baby
60,"hello, I am in 7th weeks of my pregnancy. From few days I am feeling pricking like sensation in lower abdomen and near the vaginal area. Is it normal? please answer me",pregnant,General Pregnancy
61,Hello mom's mujhe apni family se related kuch puchna actual me mujhe Abhi 11month ka bacha h mujhe sasural me bahut problem h kyuki mere sasur bahut hi bekar Tej h SAS bhi aisi hi h Mai ghr ka Sara kaam Karti hu khana banana se leke sare kaam meri SAS sa...,mother,Love&Relationships
62,Moms mera ek sawal hai jiska jawab meri friend ne mujhse maanga tha. Uski shaadi ko 3 saal ho gaye hain.uska 1 saal ka beta hai. Jab wo pregnant thi tab apne maayke aa gayi thi. Husband se7-8 month door thi. Fir jab husband aaya usse milne to uska behaviour change ho gaya tha. Uske paas nai jaata tha. Jab delivery hui uske baad bhi uske paas nai jaata tha. Fir jab wo saath rahne lage tab bhi usko chhuta nai tha. Jab bhi wo bolti thi ki wo use pyar kare to thak jaane ka bahana banakar taal deta tha.jab wo saath sote the to bhi wo uski taraf dhyan nai deta tha.isi baat pe jab dono ka jhagda hota to bhi uske paas hamesha bahaana ready rahta tha. Meri friend bahut pareshan hai kyuki uske paas iska koi jawab naj kyuki uske husband mein koi kami nai hai,ttc,Love&Relationships
63,Can I watch chaapak movie? Cs I'm very big fan of deepika! Does watching chaapak movie creates any problem to my pregnancy?,pregnant,Gossip
64,Who's delivery on August 21 raise your hands,pregnant,Gossip
65,Blessed with baby gal on 25th Jan..?? thanks to all mommies who have helped me and guided me in my pregnancy journey...????,mother,Announcements&Celebrations
66,I cant change my period date.,ttc,MyloSupport
67,How to Avoid junk foods for healthy pregnancy? https://www.momjunction.com/articles/harmful-effects-eating-junk-food-pregnancy_0022662/?utm_source=*******.com&utm_medium=referral&utm_campaign=251219gvkpaid37,pregnant,Diet&Nutrition
68,Can i take rooh af ja mixed with water?,pregnant,Diet&Nutrition
69,Again another example of a half daily tip..,mother,Diet&Nutrition
70,Ky me neem ke pato ka pani pi sakti hu plz batayiye,mother,General Baby
71,He is doing continue potty 8 to 9 times what to do,mother,General Baby
72,I want to delete my account,pregnant,MyloSupport
73,My baby is of 4 and half months.. Which baby oil is good for massage in summer and which shampoo is good?,mother,General Baby
74,"Calcium ka tablets kitne months se diya jata hai,mujhe bs ye diya gya hai",pregnant,Diet&Nutrition
76,Daily tips incomplete kyu aa rhi h,mother,MyloSupport
77,Breech position hone par c-section he hota hai?? Mere doc ne c-section section ke liye bola hai..,pregnant,General Pregnancy
78,"My belly is become tight from yesterday, baby movement also down..thoda pain v hay..as per my Dr I'll do my usg end of this wk.. But aisa hota h kya.. Itna tight feeling kavi nehi hua.. Kuch kha v nehi sakti",pregnant,General Pregnancy
79,Has anybody undergone amniocentesis? Any idea about it. Are the results 100% accurate,pregnant,General Pregnancy
80,Kya mylo pe apne mob no dene se Koi problem to nhi h plzz reply,pregnant,MyloSupport
81,I put question in app but i look answers in notification but i can touch the notification but didn't get answer of my question how to reached,ttc,MyloSupport
82,Jwab nhi milte yha,pregnant,MyloSupport
83,I can't shop on here.. it's shows Product for You COming Soon ...why????,mother,MyloSupport
84,How to cure cold and cough in babies my baby is just 25 days is suffering from it and Am giving medication as prescribed but there is no improvement seen,mother,General Baby
85,Is app P 2 3 din s problem ho rahi h 1 comment 3 bar post ho raha h esa or bhi kisi k sath ho raha h,pregnant,MyloSupport
86,Hi I just entered into my 6th week pregnancy I confirmed it by home kit it came positive. When should I go for my first ultrasound to get clear confirmation?,pregnant,General Pregnancy
87,Gave birth to baby boy through c-sec on 7th jan at 5:44 am. Baby is healthy and weighed 3.9 kg.. Thanks to all my  fellow mommies for the support,mother,Announcements&Celebrations
88,"My husband is intercoursing while doing sex but he is not ejaculating and orgasm not getting to him.. Is there any ayurvedic remedy to that.... Recently only we have started our sex.. Is it because of fear to sex, plz give suggestions",ttc,Love&Relationships
89,Hi mom's mujhe second babby girl Hui h. Phle bhi beti h. M aur mere hubby dono betiyon se khush h aur bachha bhi nai chahte. But family wale chahte h beta ho. Bolte h ek chance to aur Lena hoga. Bt m nai chahti. Kya kru roj sun sunkr tention hoti h,mother,Love&Relationships
91,Hi all mere pas phle ek girl baby hai.now I m 2nd Tim pregnant.jo bhi merko dekhta h khta ab to beta hi hona chaiye.sbne expectations lga ki Hain boy baby ki.i m very depressed now .jb bhi dekho yhi topic.mere husband ko koi prblm ni h boy ya girl se .bt or sb expectations lga k bethe h boy ki .Kya kru m ?,pregnant,Gossip
92,"Dear mylo ladies, technical issues ki wajah se kuch users ki app slow chal rahi hai. We know it's irritating but don't worry, Humari team isse theek kar rahi hai. App jald hi fit n fine hogi. Aap ke sahayog ke liye dhanyawad ???",mother,Announcements&Celebrations
93,"Is sex is safe during pregnancy of 17th week, and If yes let me know from which month to which month sex is safe?",pregnant,General Pregnancy
95,Hello everyone.. My 35th week running.. Dnt knw why I dnt feel happy.. Kuch accha Hi nei lgta.. Na kuch khane ka Maan karta Hai na baat krne na.. Lgta Hai Mera duniya me koi nei Hai.. Rone na Maan krta Hai.. Anyone else who has this type of feelings? Nd is it normal??,pregnant,General Pregnancy
96,Blessed with a Baby boy after so much of labour pain. Double enjoyment of New Year,mother,Announcements&Celebrations
97,I want to ask you one thing guys....i am loosing int in sex...mera mann nhi krta sex kene ka...husbnd naraz hone lag gye h ab to....pls help,ttc,Love&Relationships
98,Mujhe bhut depressed feel ho rha h.need bhi nhi aa rhi rat me n gussa b aa rhi.meri sis in law bhut paresan kr rhi. Mujhe Rona b aata h bhut,pregnant,Gossip
99,Most precious New year gift ....god give to me like a new life lines... Thanku god...,mother,Announcements&Celebrations
100,Apna post delete kaise kren,pregnant,MyloSupport
101,Why I'm not able to buy any of the products from this app?,mother,MyloSupport
103,Yr mai fed up ho chuki hun meri mil se ?? Yahan nhi rehti to phone par aaag lgati h husband se; wo bhi unki ki baat sunte h kya karun??,pregnant,Gossip
104,why i can't remove mobile *******,pregnant,MyloSupport
105,Guys is it ok to vermicelli to my 8th month old baby....??,mother,General Baby
106,Happy new year all mylo family ????????? ??? ?? ???? ?? ???? ?????? ?? ??  ?? ?? ???? 2020 ?? ??????? ?????????? ?? ???? ??? ...,pregnant,Announcements&Celebrations
107,Thenkeww everyone for ur blessing support n suggestions Blessed with baby girl on 20th jan 2020,mother,Announcements&Celebrations
110,i m clicking on shop then showing product page but it is showing coming soon but this page is not clear and not open i m trying many times to open this page ....please help me,mother,MyloSupport
111,Hello mommies Kl se mera 40 week start ho jayega but koi bhi labour pain k signs nhi h samajh nhi aa rha kuchh bhi kya koi aur bhi ye experience kr rha h... Kl mera doctor visit h,pregnant,General Pregnancy
116,Garbha sanskar kya hota hai?? Or kya music kesa sunte h isme,pregnant,Gossip
127,i feel unhappy with the answers and its get too late to answer the questions. with experience moms and docs. when we have any doubt then only we ask and we get reply very late.,mother,MyloSupport
